"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX3044549","GSM2720039: 5GB1_FM19_TR1_UW; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP113731","OXYGEN-LIMITED METABOLISM IN THE METHANOTROPH METHYLOMICROBIUM BURYATENSE 5GB1C","SRS2392203","","948.1","1","38704712","1393369632","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3044548","GSM2720038: 5GB1_FM19_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP113731","OXYGEN-LIMITED METABOLISM IN THE METHANOTROPH METHYLOMICROBIUM BURYATENSE 5GB1C","SRS2392204","","512.34","1","29500319","1504516269","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3044547","GSM2720037: 5GB1_FM14_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP113731","OXYGEN-LIMITED METABOLISM IN THE METHANOTROPH METHYLOMICROBIUM BURYATENSE 5GB1C","SRS2392202","","923.21","1","38418819","1383077484","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3044546","GSM2720036: 5GB1_FM14_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP113731","OXYGEN-LIMITED METABOLISM IN THE METHANOTROPH METHYLOMICROBIUM BURYATENSE 5GB1C","SRS2392201","","1201.69","1","50000347","1800012492","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3044545","GSM2720035: 5GB1_FM12_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP113731","OXYGEN-LIMITED METABOLISM IN THE METHANOTROPH METHYLOMICROBIUM BURYATENSE 5GB1C","SRS2392200","","2858.6","1","134544643","4843607148","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3044544","GSM2720034: 5GB1_FM12_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP113731","OXYGEN-LIMITED METABOLISM IN THE METHANOTROPH METHYLOMICROBIUM BURYATENSE 5GB1C","SRS2392199","","3288.31","1","153952385","5542285860","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3015033","Methylobacter tundripaludum OWC-DMM","Methylobacter tundripaludum","Illumina MiSeq","JGI","SRP112794","Methylobacter tundripaludum OWC-DMM genome sequencing","SRS2364710","","920.31","1","6057771","1829446842","BGWXB","WGS","GENOMIC","RANDOM"
"SRX3015032","Methylobacter tundripaludum OWC-G53F","Methylobacter tundripaludum","Illumina MiSeq","JGI","SRP112791","Methylobacter tundripaludum OWC-G53F genome sequencing","SRS2364709","","765.12","1","5057240","1527286480","BGWXA","WGS","GENOMIC","RANDOM"
"SRX3008696","GSM2704997: methanol_rep3; Methylomonas sp. DH-1; RNA-Seq","Methylomonas sp. DH-1","Illumina HiSeq 2000","GEO","SRP112510","Comparative transcriptome analysis of a novel obligate Methylomonas sp. DH-1 reveals key differences in the transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol","SRS2358837","","1381.08","1","14385577","2905886554","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3008695","GSM2704996: methanol_rep2; Methylomonas sp. DH-1; RNA-Seq","Methylomonas sp. DH-1","Illumina HiSeq 2000","GEO","SRP112510","Comparative transcriptome analysis of a novel obligate Methylomonas sp. DH-1 reveals key differences in the transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol","SRS2358836","","1545.77","1","15975770","3227105540","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3008694","GSM2704995: methanol_rep1; Methylomonas sp. DH-1; RNA-Seq","Methylomonas sp. DH-1","Illumina HiSeq 2000","GEO","SRP112510","Comparative transcriptome analysis of a novel obligate Methylomonas sp. DH-1 reveals key differences in the transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol","SRS2358835","","1473.15","1","15117382","3053711164","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3008693","GSM2704994: methane_rep3; Methylomonas sp. DH-1; RNA-Seq","Methylomonas sp. DH-1","Illumina HiSeq 2000","GEO","SRP112510","Comparative transcriptome analysis of a novel obligate Methylomonas sp. DH-1 reveals key differences in the transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol","SRS2358834","","1552.92","1","16053182","3242742764","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3008692","GSM2704993: methane_rep2; Methylomonas sp. DH-1; RNA-Seq","Methylomonas sp. DH-1","Illumina HiSeq 2000","GEO","SRP112510","Comparative transcriptome analysis of a novel obligate Methylomonas sp. DH-1 reveals key differences in the transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol","SRS2358833","","1645.32","1","16914913","3416812426","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3008691","GSM2704992: methane_rep1; Methylomonas sp. DH-1; RNA-Seq","Methylomonas sp. DH-1","Illumina HiSeq 2000","GEO","SRP112510","Comparative transcriptome analysis of a novel obligate Methylomonas sp. DH-1 reveals key differences in the transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol","SRS2358832","","1624.03","1","16757778","3385071156","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3008199","Whole Genome shotgun sequencing of Methylomonas sp. strain LM6","Methylomonas koyamae","PacBio RS II","Korea Research Institute of Bioscience and Biotech","SRP112391","Methylomonas koyamae strain:LM6 Genome sequencing and assembly","SRS2358343","","5813.2","1","163482","1774962282","LM6_DHLee","WGS","GENOMIC","RANDOM"
"SRX2934742","mRNA_M.tundripaludum_21deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297038","","2105.5","1","18675807","3735161400","21deg_mrna_3","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934741","totRNA_M.tundripaludum_21deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297038","","1008.23","1","8906098","1781219600","21deg_tot_rna","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934740","mRNA_M.tundripaludum_27deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297036","","2011.58","1","17922334","3584466800","27deg_mrna_1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934739","mRNA_M.tundripaludum_27deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297036","","1963.98","1","17535762","3507152400","27deg_mrna_2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934738","mRNA_M.tundripaludum_8deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297039","","2181.63","1","19485100","3897020000","8deg_mrna_1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934737","mRNA_M.tundripaludum_8deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297039","","1687.48","1","15040557","3008111400","8deg_mrna_2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934736","mRNA_M.tundripaludum_8deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297039","","2026.54","1","17981732","3596346400","8deg_mrna_3","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934735","totRNA_M.tundripaludum_8deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297039","","1229.43","1","10866016","2173203200","8deg_tot_rna","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934734","mRNA_M.tundripaludum_15deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297037","","1954.35","1","17285433","3457086600","15deg_mrna_2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934733","mRNA_M.tundripaludum_21deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297038","","2305.79","1","20625943","4125188600","21deg_mrna_1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934732","mRNA_M.tundripaludum_21deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297038","","1123.06","1","9796555","1959311000","21deg_mrna_2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934731","mRNA_M.tundripaludum_15deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297037","","2197.86","1","19530066","3906013200","15deg_mrna_3","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934730","totRNA_M.tundripaludum_15deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297037","","1195.67","1","10536698","2107339600","15deg_tot_rna","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934729","totRNA_M.tundripaludum_27deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297036","","1073.34","1","9428331","1885666200","27deg_tot_rna","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934728","mRNA_M.tundripaludum_15deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297037","","2887.5","1","25509668","5101933600","15deg_mrna_1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2934727","mRNA_M.tundripaludum_27deg","Methylobacter tundripaludum","Illumina HiSeq 2000","UiT, The Arctic University of Norway","SRP109764","Transcriptomics of Methylobacter tundripaludum SV96","SRS2297036","","2350.04","1","20986016","4197203200","27deg_mrna_3","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX2867111","simultaneous removal of ammonia, iron and manganese","Crenothrix sp. China:harbin","454 GS FLX","Chengdu University of Information Technology","SRP108227","Crenothrix sp. China:harbin Raw sequence reads","SRS2237511","","9.17","2","69886","17522789","","RNA-Seq","GENOMIC","PCR"
"SRX2447371","biological ammonia, iron and manganese removal from real groundwater","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP095713","microorganisms in the biofilter for ammonia, iron and manganese removal Genome sequencing and assembly","SRS1880818","","15.4","2","117881","29575388","","RNA-Seq","GENOMIC","PCR"
"SRX2626487","Methylococcaceae bacterium UBA975","Methylococcaceae bacterium UBA975","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2036444","","5.67","1","515085","15740312","SRX803008.b44.bam","WGS","METAGENOMIC","RANDOM"
"SRX2626322","Methylococcaceae bacterium UBA659","Methylococcaceae bacterium UBA659","Illumina HiSeq 1000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2036280","","0.93","1","78437","2403337","SRX748866.b2.bam","WGS","METAGENOMIC","RANDOM"
"SRX2626321","Methylococcaceae bacterium UBA662","Methylococcaceae bacterium UBA662","Illumina HiSeq 1000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2036277","","0.93","1","78437","2403337","SRX748866.b12.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624431","Methylobacter tundripaludum UBA6706","Methylobacter tundripaludum","Illumina MiSeq","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034389","","0.13","1","5086","155265","SRX644737.b1.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624430","Methylobacter sp. UBA6712","Methylobacter sp. UBA6712","Illumina MiSeq","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034388","","0.11","1","2996","90378","SRX644736.b1.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624429","Methylobacter sp. UBA6701","Methylobacter sp. UBA6701","Illumina MiSeq","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034386","","0.11","1","2979","90714","SRX644735.b1.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624428","Methylobacter sp. UBA2091","Methylobacter sp. UBA2091","Illumina MiSeq","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034384","","0.15","1","6719","205468","SRX644733.b2.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624426","Methylobacter sp. UBA6696","Methylobacter sp. UBA6696","Illumina MiSeq","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034383","","0.08","1","476","14670","SRX644732.b1.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624399","Methylococcaceae bacterium UBA2780","Methylococcaceae bacterium UBA2780","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034356","","40.9","1","221064","47503152","SRX560108.b59.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624397","Methylococcaceae bacterium UBA2778","Methylococcaceae bacterium UBA2778","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2034355","","70.48","1","507053","102115537","SRX560108.b52.bam","WGS","METAGENOMIC","RANDOM"
"SRX2624018","Methylococcaceae bacterium UBA5071","Methylococcaceae bacterium UBA5071","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2033975","","14.83","1","1358383","41537914","SRX482087.b2.bam","OTHER","GENOMIC","unspecified"
"SRX2623325","Methylococcaceae bacterium UBA6146","Methylococcaceae bacterium UBA6146","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2033281","","199.42","1","1492881","367455632","SRX327520.b63.bam","WGS","METAGENOMIC","RANDOM"
"SRX2623276","Methylococcus sp. UBA6136","Methylococcus sp. UBA6136","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2033234","","667.65","1","5530168","1303493656","SRX327520.b11.bam","WGS","METAGENOMIC","RANDOM"
"SRX2622687","Methylococcaceae bacterium UBA7658","Methylococcaceae bacterium UBA7658","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2032644","","33.18","1","351523","59042753","SRX242881.b19.bam","WGS","METAGENOMIC","unspecified"
"SRX2622300","Methylococcaceae bacterium UBA4132","Methylococcaceae bacterium UBA4132","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2032258","","105.23","1","523446","152451226","SRX127229.b1.bam","OTHER","GENOMIC","unspecified"
"SRX2622292","Methylococcaceae bacterium UBA3127","Methylococcaceae bacterium UBA3127","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2032248","","85.04","1","330547","94971600","SRX118540.b8.bam","OTHER","GENOMIC","unspecified"
"SRX2622183","Methylococcaceae bacterium UBA1147","Methylococcaceae bacterium UBA1147","Illumina HiSeq 2500","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2032140","","63.2","1","614326","62126615","SRX1075082.b74.bam","WGS","METAGENOMIC","RANDOM"
"SRX2621624","Methylococcaceae bacterium UBA1114","Methylococcaceae bacterium UBA1114","Illumina HiSeq 2000","University of Queensland","SRP093542","Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life","SRS2031581","","27.28","1","156406","30305164","ERX556130.b28.bam","WGS","METAGENOMIC","RANDOM"
"SRX2404566","DNA-seq of soil: Paddy soil","Methylococcus capsulatus","Illumina MiSeq","Yantai Institute of Coastal Zone Research, Chinese","SRP094750","Bacterial community composition Raw sequence reads","SRS1843792","","12.62","1","38380","23104760","Bac-10","AMPLICON","GENOMIC","PCR"
"SRX2096002","Methylomicrobium kenyense AMO1","Methylotuvimicrobium kenyense","PacBio RS","JGI","SRP084006","Methylotuvimicrobium kenyense strain:AMO Genome sequencing","SRS1664643","","157.7","1","71945","231241854","XXAT","WGS","GENOMIC","RANDOM"
"SRX2096001","Methylomicrobium kenyense AMO1","Methylotuvimicrobium kenyense","PacBio RS","JGI","SRP084006","Methylotuvimicrobium kenyense strain:AMO Genome sequencing","SRS1664643","","168.81","1","77937","247062064","XXAT","WGS","GENOMIC","RANDOM"
"SRX2096000","Methylomicrobium kenyense AMO1","Methylotuvimicrobium kenyense","PacBio RS","JGI","SRP084006","Methylotuvimicrobium kenyense strain:AMO Genome sequencing","SRS1664643","","173.41","1","81738","254856282","XXAT","WGS","GENOMIC","RANDOM"
"SRX2095999","Methylomicrobium kenyense AMO1","Methylotuvimicrobium kenyense","PacBio RS","JGI","SRP084006","Methylotuvimicrobium kenyense strain:AMO Genome sequencing","SRS1664643","","3.74","1","2107","5449742","XXAT","WGS","GENOMIC","RANDOM"
"SRX2095996","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2000","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","1167.25","1","11268336","2253667200","WBPT","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095995","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2000","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","1124.36","1","10867794","2173558800","WBPU","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095994","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2000","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","1266.56","1","12371249","2474249800","WBPW","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095993","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","1719.65","1","14980711","2996142200","WBPP","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095992","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","2160.83","1","18787821","3757564200","WBPS","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095991","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","2386.02","1","20683532","4136706400","WBSA","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095990","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","2139.14","1","18655559","3731111800","WBSC","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095989","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","1926.61","1","16702571","3340514200","WBSB","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095988","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2000","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","937.42","1","9125667","1825133400","WBPX","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095987","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2000","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","1189.22","1","11473416","2294683200","WBPY","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095986","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","2168.1","1","18940897","3788179400","WBPZ","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095985","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina MiSeq","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","697.96","1","4748586","1434072972","AAACY","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2095984","Methylococcus capsulatus Bath transcriptome","Methylococcus capsulatus str. Bath","Illumina HiSeq 2500","JGI","SRP084004","Methylococcus capsulatus str. Bath Transcriptome or Gene expression","SRS1664641","","2331.92","1","20348648","4069729600","WBPO","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052392","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1082.48","1","10476567","2095313400","WBOT","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052391","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1124.99","1","10956692","2191338400","WBOW","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052390","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1731.8","1","15844940","3168988000","WBOY","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052389","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1798.94","1","16434428","3286885600","WBOX","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052388","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2500","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","7088.75","1","90536720","18288417440","AYHHZ","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052387","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1868.28","1","17146907","3429381400","WBOZ","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052386","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2500","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","6596.99","1","86730693","17519599986","AYHHY","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052385","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1534.99","1","14085552","2817110400","WBPG","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052384","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1574.55","1","14331571","2866314200","WBPA","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052383","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","1260.78","1","12197783","2439556600","WBPN","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2052382","Methylomicrobium album BG8 transcriptome","Methylomicrobium album BG8","Illumina HiSeq 2000","JGI","SRP082804","Methylomicrobium album BG8 Transcriptome or Gene expression","SRS1644696","","941.52","1","9209276","1841855200","WBPH","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX2043898","Methylocaldum sp. 175","Methylomagnum ishizawai","PacBio RS","JGI","SRP082694","Methylomagnum ishizawai 175 genome sequencing","SRS1636520","","197.94","1","96670","289520277","USOT","WGS","GENOMIC","RANDOM"
"SRX2043897","Methylocaldum sp. 175","Methylomagnum ishizawai","PacBio RS","JGI","SRP082694","Methylomagnum ishizawai 175 genome sequencing","SRS1636520","","227.25","1","108001","332978821","USOT","WGS","GENOMIC","RANDOM"
"SRX2043896","Methylocaldum sp. 175","Methylomagnum ishizawai","PacBio RS","JGI","SRP082694","Methylomagnum ishizawai 175 genome sequencing","SRS1636520","","171.06","1","84132","250524062","USOT","WGS","GENOMIC","RANDOM"
"SRX2041511","Methylococaceae sp. 73a","Methyloterricola oryzae","Illumina MiSeq","JGI","SRP082644","Methyloterricola oryzae 73a genome sequencing","SRS1634578","","1069.73","1","6831413","2063086726","WSOZ","WGS","GENOMIC","RANDOM"
"SRX2041507","Methylobacter sp. BBA5.1","Methylobacter sp. BBA5.1","Illumina MiSeq","JGI","SRP082642","Methylobacter sp. BBA5.1 Genome sequencing and assembly","SRS1634575","","855.71","1","5542436","1673815672","WSPA","WGS","GENOMIC","RANDOM"
"SRX2024120","GSM2279831: (delta) mbaI strain grown to stationary phase with 1 uM 3-OH-C10-HSL signal added, bio rep2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618550","","883.34","1","25442461","1297565511","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2024119","GSM2279830: (delta) mbaI strain grown to stationary phase with 1 uM 3-OH-C10-HSL signal added, bio rep1; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2500","GEO","SRP082169","QUORUM SENSING IN A METHANE-OXIDIZING BACTERIUM","SRS1618549","","849.27","1","24380954","1243428654","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
